,NP1_SST,NP2_SST,N34,EEIO,Rainfall
1901,-0.2364638289436698,-0.08005530200898647,-0.1885734684765339,0.03940268512815237,-1
1902,0.12725187838077545,-1.3402033001184464,1.8414744138717651,-0.058403803035616875,0
1903,0.21184789342805743,-0.8889759331941605,-0.5677497312426567,0.21287035197019577,0
1904,-0.2018279992043972,-0.3454938977956772,0.2230861894786358,-0.25702186301350594,-1
1905,0.4491870179772377,-1.3197207227349281,1.649520069360733,-0.0460975815076381,-1
1906,0.3434205724624917,-0.4020973052829504,-0.46754926443099976,0.49467457830905914,0
1907,-0.4830322116613388,0.013749206438660622,0.18991484213620424,-0.05751548334956169,0
1908,-0.15863791853189468,-0.014455895870923996,-0.39168018847703934,-0.010019143112003803,0
1909,0.33071358501911163,0.6295338496565819,-0.7189151644706726,0.19238206557929516,0
1910,0.1935435812920332,-0.4135344363749027,-0.870133176445961,0.11662886664271355,0
1911,-0.10110821295529604,-0.20716512203216553,0.5212337449193001,0.10666208900511265,-1
1912,0.21162577904760838,-0.30167176201939583,0.004855586215853691,0.40404319018125534,0
1913,0.27629441767930984,-0.5121522769331932,0.29838887974619865,-0.13094139657914639,-1
1914,0.22153986617922783,0.39035159535706043,1.0587777644395828,0.2616444379091263,0
1915,0.58412866294384,-0.48797424882650375,0.14810415729880333,0.2859235517680645,-1
1916,0.7524407356977463,0.28285875148139894,-0.7337548136711121,0.29366758838295937,1
1917,0.10990761360153556,0.16173239797353745,-1.0425778031349182,0.49837594479322433,1
1918,-0.3462805449962616,-0.2760118528967723,0.5475542768836021,0.05732041255396325,-1
1919,-0.14660772564820945,0.113890890032053,-0.31410305574536324,0.232392318546772,0
1920,0.0983884462621063,0.10241655632853508,0.37742027163039893,0.1535427002236247,0
1921,-0.2685928959399462,0.3828717879951,0.06424697092734277,0.04366331920027733,1
1922,0.057176564645487815,0.07788643194362521,-0.9364952892065048,0.06386970728635788,0
1923,0.041898699186276644,-0.1848085355013609,0.39019111916422844,-0.22986816614866257,0
1924,-0.1259896601550281,0.11948368488810956,-0.9668160825967789,-0.01965810125693679,1
1925,-0.16137952730059624,0.05554903484880924,0.2403971254825592,-0.20832710014656186,0
1926,-0.04207884520292282,-0.7598707117140293,0.03657504357397556,0.1447852747514844,0
1927,-0.15537865087389946,0.3718673437833786,-0.06312602944672108,0.051145656034350395,0
1928,-0.3241974301636219,0.09888498485088348,-0.04333389736711979,0.15093106403946877,0
1929,-0.1337481616064906,-0.06780961155891418,0.03288118040654808,-0.2321617715060711,0
1930,0.36985567957162857,-0.1836485043168068,0.8878917545080185,-0.0018920130096375942,0
1931,0.08380404487252235,-0.824270598590374,0.04534238576889038,0.1032919401768595,0
1932,-0.03796669654548168,0.03472245641751215,0.014045611023902893,-0.10982704348862171,0
1933,0.09168279194273055,0.31247270852327347,-1.1802007257938385,0.07652171747758985,1
1934,-0.08414341975003481,-0.6293736547231674,-0.150616395752877,-0.16775205545127392,0
1935,-0.44386301934719086,-0.6008331477642059,-0.11367787420749664,-0.2666204422712326,0
1936,-0.0037145372480154037,-1.222917690873146,-0.21826042979955673,0.03937391750514507,1
1937,-0.09666294790804386,0.3150356262922287,0.026031224988400936,-0.022001165780238807,0
1938,0.03227417543530464,0.3860415145754814,-1.4703252017498016,-0.0887316525913775,1
1939,-0.6307064592838287,0.2802961841225624,0.2598312199115753,-0.05792594456579536,0
1940,-0.36128025501966476,-0.8660392016172409,0.919929638504982,0.13128585927188396,0
1941,-0.17896492371801287,-1.2932361662387848,0.8555508404970169,0.7227445095777512,0
1942,0.49916449561715126,-0.7761147618293762,-1.0885222777724266,0.476298063993454,1
1943,-1.1206920444965363,0.5593026727437973,-0.03908633254468441,-0.22493083775043488,0
1944,-0.20010235160589218,0.8551869839429855,0.06499313376843929,0.4161020591855049,0
1945,0.3888236843049526,-0.5362798497080803,-0.5559955313801765,-0.010248184204101562,0
1946,0.43041379004716873,-0.13310298696160316,-1.150134190917015,-0.2484821155667305,0
1947,0.09959492716006935,-0.3489527367055416,-0.1876508742570877,-0.09994471678510308,0
1948,0.1140231303870678,0.7009284496307373,-0.7450720891356468,-0.16485611908137798,1
1949,-0.1620069881901145,0.5801858776248991,-0.6541197001934052,-0.24131843075156212,1
1950,-0.0549507737159729,1.4324075281620026,-0.6429727226495743,-0.24662984907627106,0
1951,0.0902362298220396,0.8789190575480461,0.6495170071721077,-0.14134271629154682,-1
1952,0.39372721686959267,0.6688754633069038,-0.15668387385085225,-0.18157903663814068,-1
1953,0.23968284018337727,-0.3492204546928406,0.6160330250859261,-0.23219361901283264,0
1954,0.4017878845334053,-0.08437618869356811,-0.901628889143467,-0.21184613183140755,0
1955,0.06691664829850197,0.999366044998169,-0.8981239646673203,-0.35321548767387867,0
1956,0.1638989895582199,0.8538358360528946,-0.6626577153801918,-0.3220868334174156,0
1957,-0.33894508704543114,-0.7181744128465652,1.1232820451259613,-0.11470546945929527,0
1958,-0.11345353443175554,-0.10925394110381603,0.35293439496308565,0.35772882029414177,1
1959,0.17492843128275126,-0.06836198922246695,-0.33758495282381773,0.07736779563128948,1
1960,-0.11717868410050869,-0.20028907130472362,0.011662836535833776,0.05417139222845435,0
1961,0.5657043606042862,0.9438344687223434,-0.17975721322000027,-0.5515618994832039,1
1962,0.10667549259960651,0.3424212671816349,-0.28535734862089157,0.08824834320694208,0
1963,-0.07734847720712423,-0.12231599539518356,0.7485432475805283,-0.21343906316906214,0
1964,0.1360975345596671,-0.42257875576615334,-0.8654725253582001,-0.06667189486324787,1
